Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1961300,2002860,1887799,1408501
Depreciation & amortization,-,729508,636714,618917
Change in working capital,-,-1005594,-1099059,263820
Inventory,-,-560733,-873742,56431
Other working capital,-,791231,1101905,1414978
Other non-cash items,-,83890,118868,173630
Net cash provided by operating activites,-,1664715,1920248,2168384
Investments in property plant and equipment,-,-873484,-818343,-753406
Purchases of investments,-,-,-,-54825
Sales/Maturities of investments,-,150209,83,245232
Other investing activites,-,-8931,-142120,206
Net cash used for investing activites,-,-756658,-695454,-562301
Net change in cash,-,375450,408749,615789
Cash at beginning of period,-,3888452,3479702,2798981
Cash at end of period,-,4263903,3888452,3479702
Operating Cash Flow,-,1664715,1920248,2168384
Capital Expenditure,-,-873484,-818343,-753406
Free Cash Flow,-,791231,1101905,1414978
