Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Net Income,12980772,13507389,10504361,6283397
Depreciation & amortization,-,3315913,3348665,3572577
Change in working capital,-,-1768973,5066007,2700976
Inventory,-,-18356,-9807,-7578
Other working capital,13286831,10750669,16497944,10628529
Other non-cash items,-,-857885,-563103,-107352
Net cash provided by operating activites,16319877,13783715,18519720,12731905
Investments in property plant and equipment,-,-3033046,-2021776,-2103376
Acquisitions net,-,-,-,0
Purchases of investments,-,-11001458,-23481720,-2761638
Sales/Maturities of investments,-,362030,2409078,6614
Other investing activites,-,1147228,11303136,-12694598
Net cash used for investing activites,-7528565,-11238377,-11116521,-17337158
Net change in cash,2869975,-1916331,8883593,-1155332
Cash at beginning of period,7933332,15702430,6803466,7979218
Cash at end of period,10803307,13778102,15702430,6803466
Operating Cash Flow,16319877,13783715,18519720,12731905
Capital Expenditure,-,-3033046,-2021776,-2103376
Free Cash Flow,13286831,10750669,16497944,10628529
