Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,-551000,-551000,-531000,57000,410000
Depreciation & amortization,670000,670000,680000,650000,667000
Change in working capital,178000,178000,117000,-182000,-69000
Inventory,-7000,-7000,42000,-35000,42000
Other working capital,-560000,-560000,-234000,-370000,638000
Other non-cash items,59000,59000,99000,-67000,41000
Net cash provided by operating activites,317000,317000,348000,246000,1208000
Investments in property plant and equipment,-877000,-877000,-582000,-616000,-570000
Purchases of investments,-11000,-11000,-10000,-12000,-11000
Sales/Maturities of investments,-,-,48000,386000,-
Other investing activites,-5000,-5000,2000,-2000,2000
Net cash used for investing activites,-893000,-893000,-542000,-255000,-579000
Net change in cash,-791000,-791000,-232000,33000,489000
Cash at beginning of period,2692000,2692000,2924000,2891000,2401000
Cash at end of period,1900000,1900000,2692000,2924000,2891000
Operating Cash Flow,317000,317000,348000,246000,1208000
Capital Expenditure,-877000,-877000,-582000,-616000,-570000
Free Cash Flow,-560000,-560000,-234000,-370000,638000
