Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,50511,-1712709,-204002,814575
Depreciation & amortization,-,461834,298798,213772
Stock based compensation,-,10081,69511,49455
Change in working capital,-,224278,-301401,-221456
Inventory,-,118988,616652,-787371
Other working capital,-,-487847,-849004,259412
Other non-cash items,-,41377,275940,-123745
Net cash provided by operating activites,-,78257,-79433,845616
Investments in property plant and equipment,-,-566104,-769571,-586204
Acquisitions net,-,-,-441000,-
Purchases of investments,-,-19800,-119794,-50000
Sales/Maturities of investments,-,-,60000,229461
Other investing activites,-,-27083,-197842,-48857
Net cash used for investing activites,-,-122987,-1958207,-455600
Net change in cash,-,-317352,250317,1735707
Cash at beginning of period,-,3173522,2923204,1206906
Cash at end of period,-,2856170,3173522,2923204
Operating Cash Flow,-,78257,-79433,845616
Capital Expenditure,-,-566104,-769571,-586204
Free Cash Flow,-,-487847,-849004,259412
