Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1247,-1367,-1683,-8240,-2969
Other investing activites,30,33,2135,336,728.234
Net cash used for investing activites,-1210,-1326,462,-7803,-2166
Common stock issued,3526,2303,2664,11874,2249
Common stock repurchased,-116,-108,-191,-730,-109.45
Net cash used privided by (used for) financing activities,3410,2195,2473,11144,2139
Net change in cash,37,-1365,877,-107,-2591
Cash at beginning of period,751,2827,1950,2057,4649
Cash at end of period,788,1462,2827,1950,2057
Capital Expenditure,-1247,-1367,-1683,-8240,-2969
Free Cash Flow,-3410,-3601,-3741,-11688,-5534
