Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1135000,750000,692000,662000
Depreciation & amortization,-,1109000,1081000,1040000
Stock based compensation,-,74000,16000,64000
Change in working capital,-,171000,-166000,-113000
Inventory,-,-6000,-13000,9000
Other working capital,-,-2199000,-173000,-798000
Other non-cash items,-,28000,19000,35000
Net cash provided by operating activites,-,2143000,1766000,1581000
Investments in property plant and equipment,-,-4342000,-1939000,-2379000
Purchases of investments,-,-1000,-1000,-1000
Sales/Maturities of investments,-,-,-,75000
Other investing activites,-,-5000,-29000,-
Net cash used for investing activites,-,-4348000,-1964000,-2297000
Net change in cash,-,3091000,-822000,-237000
Cash at beginning of period,-,1392000,2215000,2452000
Cash at end of period,-,4484000,1392000,2215000
Operating Cash Flow,-,2143000,1766000,1581000
Capital Expenditure,-,-4342000,-1939000,-2379000
Free Cash Flow,-,-2199000,-173000,-798000
