Breakdown,ttm,6/30/2019,6/30/2018
Common stock issued,-,-,6000
Common stock repurchased,-,-,-360
Net cash used privided by (used for) financing activities,-,-,5640
Net change in cash,-2137,-1809,4360
Cash at beginning of period,4557,5114,754.188
Cash at end of period,2420,3305,5114
Free Cash Flow,-2137,-1809,-1280
