Breakdown,ttm,9/30/2019
Net Income,13236,13236
Change in working capital,-250,-250
Other working capital,6537,6537
Other non-cash items,4807,4807
Net cash provided by operating activites,6537,6537
Purchases of investments,-28536,-28536
Sales/Maturities of investments,826,826
Other investing activites,-5445,-5445
Net cash used for investing activites,-33057,-33057
Net change in cash,14346,14346
Cash at beginning of period,10686,10686
Cash at end of period,25032,25032
Operating Cash Flow,6537,6537
Free Cash Flow,6537,6537
