Breakdown,ttm,9/30/2019,9/30/2018
Purchases of investments,6741,6741,52662
Sales/Maturities of investments,-19134,-19134,-47528
Net cash used for investing activites,-12393,-12393,5134
Common stock issued,6567,6567,47.3
Common stock repurchased,-67.933,-67.933,-
Dividends Paid,-850.932,-850.932,-427.037
Net cash used privided by (used for) financing activities,5648,5648,-379.737
Net change in cash,-7846,-7846,3610
Cash at beginning of period,-92.717,-92.717,-3560
Cash at end of period,-7873,-7873,-92.717
Free Cash Flow,-1101,-1101,-1144
