Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-281.111,-120.734,-181.097,-1054,-777.716
Sales/Maturities of investments,-,-,-,-,13.145
Other investing activites,-,-0.548,20.129,-4.125,-
Net cash used for investing activites,368.341,-121.282,-135.968,-1058,-764.571
Debt repayment,-3549,-2223,-1332,-1465,-300
Common stock issued,1586,2081,4661,2959,1176
Net cash used privided by (used for) financing activities,2563,3155,4494,3234,1876
Net change in cash,187.853,-224.527,23.069,-95.632,-256.362
Cash at beginning of period,31.368,611.751,588.682,684.314,940.676
Cash at end of period,219.221,387.224,611.751,588.682,684.314
Capital Expenditure,-281.111,-120.734,-181.097,-1054,-777.716
Free Cash Flow,-,-3379,-4516,-3325,-2145
