Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,6574000,4328000,7798000,6913000
Depreciation & amortization,9918000,9795000,9863000,10039000
Change in working capital,-555000,-65000,-1426000,375000
Inventory,1163000,383000,-879000,-257000
Other working capital,6687000,-11726000,7255000,6298000
Other non-cash items,453000,673000,-585000,1204000
Net cash provided by operating activites,16288000,15151000,15597000,16630000
Investments in property plant and equipment,-9601000,-26877000,-8342000,-10332000
Acquisitions net,-,-,-50000,-
Purchases of investments,-1000,-801000,-2000,-998000
Sales/Maturities of investments,423000,665000,809000,650000
Other investing activites,-50000,-47000,-56000,-89000
Net cash used for investing activites,-9622000,-26846000,-7059000,-10743000
Net change in cash,-2714000,-13252000,40000,-2837000
Cash at beginning of period,13035000,31437000,31396000,34233000
Cash at end of period,10330000,18193000,31437000,31396000
Operating Cash Flow,16288000,15151000,15597000,16630000
Capital Expenditure,-9601000,-26877000,-8342000,-10332000
Free Cash Flow,6687000,-11726000,7255000,6298000
