Breakdown,12/31/2018,12/31/2017,12/31/2016
Total Assets,595661,397782,205544
Liabilities,,,
Total Liabilities,194951,93023,3493
Stockholders' Equity,,,
Common Stock,394,299,199
Total stockholders' equity,400710,304759,202051
Total liabilities and stockholders' equity,595661,397782,205544
