Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-312142,-312142,-402847,-269913,-79870
Acquisitions net,-177046,-177046,-40159,-17728,-160453
Purchases of investments,-330705,-330705,-62297,-31112,-
Sales/Maturities of investments,125534,125534,28780,-,111
Other investing activites,-,-,-,-133142,-179791
Net cash used for investing activites,-572400,-572400,-590182,-346037,-542964
Net change in cash,-255687,-255687,-138151,37640,114099
Cash at beginning of period,256930,256930,346241,401970,292955
Cash at end of period,1243,1243,256930,374299,401970
Capital Expenditure,-312142,-312142,-402847,-269913,-79870
Free Cash Flow,-55851,-55851,-239345,-188667,-48229
