Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,-260883,-260883,-309054,-60666,-55239
Depreciation & amortization,-,-,2490,14220,4545
Change in working capital,-,-,53190,-13000,-2446
Inventory,-,-,323,-3608,-1835
Other working capital,-,-,-61472,-41071,-32120
Other non-cash items,-,-,16023,8860,9274
Net cash provided by operating activites,-,-,-18494,-24476,-32029
Investments in property plant and equipment,-,-,-42978,-16595,-91
Acquisitions net,-,-,-5993,-4562,0
Sales/Maturities of investments,-,-,0,65,-
Other investing activites,-,-,-343,755,3529
Net cash used for investing activites,-,-,-47043,-20025,15863
Net change in cash,-,-,-79931,-10391,64406
Cash at beginning of period,-,-,83379,95363,25156
Cash at end of period,-,-,4981,83379,95363
Operating Cash Flow,-,-,-18494,-24476,-32029
Capital Expenditure,-,-,-42978,-16595,-91
Free Cash Flow,-,-,-61472,-41071,-32120
