Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-124.998,-141.275,-110.25,-177.452,-100.77
Sales/Maturities of investments,-,-,-,-,1.495
Other investing activites,-,12.544,-,-,-
Net cash used for investing activites,-106.389,-128.731,-110.25,-177.452,-99.275
Debt repayment,-,-9,-,-20,-
Common stock issued,-,-,-,200,110.891
Common stock repurchased,-,-1.884,-,-12.25,-18.828
Net cash used privided by (used for) financing activities,83.263,88.116,52,187.75,92.063
Net change in cash,8.88,-31.535,-65.739,69.851,-42.069
Cash at beginning of period,40.646,50.973,116.712,46.861,88.93
Cash at end of period,49.526,19.438,50.973,116.712,46.861
Capital Expenditure,-124.998,-141.275,-110.25,-177.452,-100.77
Free Cash Flow,-92.992,-132.195,-117.739,-117.899,-135.627
