Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1321537,1281301,934486,846075
Liabilities,,,,
Total Liabilities,1170440,1143676,841230,756606
Stockholders' Equity,,,,
Common Stock,2367,2367,1818,1818
Retained Earnings,66955,57843,55280,51713
Accumulated other comprehensive income,2646,-1440,-1341,-1179
Total stockholders' equity,151097,137625,93256,89469
Total liabilities and stockholders' equity,1321537,1281301,934486,846075
