Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Other investing activites,-,-,-,13087,-
Net cash used for investing activites,-,-,-,13087,2600
Debt repayment,-,-,-,-,-2254
Common stock issued,-,-,-,4959,-
Common stock repurchased,-5860,-2757,-444,-185,-
Dividends Paid,-5255,-9426,-9713,-8589,-8248
Net cash used privided by (used for) financing activities,-11412,-12183,-10157,-3815,-10502
Net change in cash,6138,-12723,-11192,17211,180
Cash at beginning of period,12,15455,26647,9436,9256
Cash at end of period,6150,2732,15455,26647,9436
Free Cash Flow,13379,-540,-1035,7939,8082
