Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,428009,481099,468361,450173
Liabilities,,,,
Total Liabilities,369344,442918,429367,412833
Stockholders' Equity,,,,
Common Stock,49,-,-,-
Retained Earnings,40213,39764,39782,37993
Accumulated other comprehensive income,107,-1583,-788,-653
Total stockholders' equity,58665,38181,38994,37340
Total liabilities and stockholders' equity,428009,481099,468361,450173
