Breakdown,ttm,12/31/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-404.1108,-404.1108,-4970,-4720,-4557
Purchases of investments,-516.4687,-516.4687,-,-,-
Net cash used for investing activites,-920.5795,-920.5795,-4970,-4720,-4557
Debt repayment,-472.9703,-472.9703,-,-,-
Common stock issued,3256,3256,1862,5474,7625
Common stock repurchased,-229.1978,-229.1978,-141.728,-309.883,-403.824
Other financing activites,-,-,-,469.849,-
Net cash used privided by (used for) financing activities,2854,2854,3020,5634,8726
Net change in cash,493.0474,493.0474,-2641,-1082,2863
Cash at beginning of period,263.811,263.811,3084,4583,1802
Cash at end of period,756.0462,756.0462,335.489,3084,4583
Capital Expenditure,-404.1108,-404.1108,-4970,-4720,-4557
Free Cash Flow,-1845,-1845,-5661,-6716,-5862
