Breakdown,ttm,12/31/2019
Total Revenue,873.061,873.061
Selling General and Administrative,726.981,726.981
Total Operating Expenses,726.981,726.981
Income Before Tax,146.08,146.08
Income Tax Expense,0,0
Income from Continuing Operations,146.08,146.08
Net Income,146.08,146.08
Net Income available to common shareholders,146.08,146.08
