Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,557711,256690,143420,188060
Depreciation & amortization,-,828,138,107
Change in working capital,-,-29696,-62568,88722
Other working capital,21820,-144694,-214167,40341
Other non-cash items,-,-344891,-130716,-212145
Net cash provided by operating activites,34424,-140275,-213729,40646
Investments in property plant and equipment,-12604,-4419,-438,-305
Acquisitions net,-,0,-364521,-
Purchases of investments,-1058074,-3349397,-3630927,-888858
Sales/Maturities of investments,791280,1725915,1215685,823895
Other investing activites,-,-242141,241264,-
Net cash used for investing activites,-257873,-1177617,-2400053,14640
Net change in cash,-452441,-1577871,-15139,116262
Cash at beginning of period,501126,1771671,1786810,1670548
Cash at end of period,48685,193800,1771671,1786810
Operating Cash Flow,34424,-140275,-213729,40646
Capital Expenditure,-12604,-4419,-438,-305
Free Cash Flow,21820,-144694,-214167,40341
