Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,45922,45922,35594,25372,19782
Interest Expense,2548,2548,1212,538,511
Income Before Tax,19138,19138,11924,7034,4588
Income Tax Expense,4995,4995,3190,3390,1766
Income from Continuing Operations,14143,14143,8734,3644,2822
Net Income,14143,14143,8734,3644,2822
Net Income available to common shareholders,14143,14143,8734,3621,2760
Basic EPS,-,-,1.18,0.59,0.40
Diluted EPS,-,-,1.13,0.58,0.40
Basic Average Shares,-,-,7402,6176,6857
Diluted Average Shares,-,-,7729,6283,6857
