Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2181577,906239,441021,160919
Depreciation & amortization,-,468605,731125,1099502
Stock based compensation,-,39880,-,-
Change in working capital,-,194751,19529,55552
Inventory,-,-356,-49997,-13669
Other working capital,-,2049885,712155,867412
Other non-cash items,-,389206,204992,57361
Net cash provided by operating activites,-,2141956,1270320,1532767
Investments in property plant and equipment,-,-92071,-558165,-665355
Acquisitions net,-,-28109,-,-
Purchases of investments,-,-1616163,-1915,-
Sales/Maturities of investments,-,1664779,-,204756
Other investing activites,-,-15033,2274829,65265
Net cash used for investing activites,-,-80069,1714749,-395334
Net change in cash,-,1489382,2769411,922787
Cash at beginning of period,-,6189337,3419925,2497138
Cash at end of period,-,7678719,6189337,3419925
Operating Cash Flow,-,2141956,1270320,1532767
Capital Expenditure,-,-92071,-558165,-665355
Free Cash Flow,-,2049885,712155,867412
