Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,24102000,22268000,21339000,19466000
Depreciation & amortization,-,16275000,16733000,17327000
Change in working capital,-,-1326000,-184000,-1773000
Inventory,-,-1700000,-8010000,6255000
Other working capital,-,21640000,23165000,21812000
Other non-cash items,-,1571000,5828000,2903000
Net cash provided by operating activites,-,39873000,42869000,35361000
Investments in property plant and equipment,-,-18233000,-19704000,-13549000
Acquisitions net,-,-125000,-54000,-17000
Purchases of investments,-,-4205000,-7949000,-3699000
Sales/Maturities of investments,-,4271000,8956000,5199000
Other investing activites,-,-936000,-336000,140000
Net cash used for investing activites,-,-19184000,-18067000,-5240000
Net change in cash,-,9920000,7624000,18404000
Cash at beginning of period,-,98461000,90837000,72960000
Cash at end of period,-,107374000,98461000,90837000
Operating Cash Flow,-,39873000,42869000,35361000
Capital Expenditure,-,-18233000,-19704000,-13549000
Free Cash Flow,-,21640000,23165000,21812000
