Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-371651,-600252,-775807,82403
Depreciation & amortization,-,15722,15106,14723
Change in working capital,-,121499,111868,397507
Inventory,-,2593,-2,4
Other working capital,269803,125196,-62311,331802
Other non-cash items,-,82617,73279,61548
Net cash provided by operating activites,287415,131244,-59236,333577
Investments in property plant and equipment,-17612,-6048,-3075,-1775
Acquisitions net,-,-163340,-195000,-44033
Sales/Maturities of investments,-,38790,5632,-
Other investing activites,1473,5816,-45,-
Net cash used for investing activites,-140689,-124782,-192488,-519558
Net change in cash,-133946,-90034,-304168,248816
Cash at beginning of period,157368,179712,492651,305451
Cash at end of period,23422,79975,179712,492651
Operating Cash Flow,287415,131244,-59236,333577
Capital Expenditure,-17612,-6048,-3075,-1775
Free Cash Flow,269803,125196,-62311,331802
