Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,1836000,1836000,2670000,2589000,3041000
Depreciation & amortization,1169000,1169000,1376000,1380000,1304000
Change in working capital,259000,259000,-279000,-230000,784000
Inventory,-448000,-448000,-266000,-304000,196000
Other working capital,3272000,3272000,3210000,1331000,4996000
Other non-cash items,-168000,-168000,166000,-338000,159000
Net cash provided by operating activites,4243000,4243000,4130000,3052000,5609000
Investments in property plant and equipment,-971000,-971000,-920000,-1721000,-613000
Purchases of investments,-9135000,-9135000,-12961000,-8328000,-14534000
Sales/Maturities of investments,6843000,6843000,10717000,6053000,10185000
Other investing activites,1000,1000,401000,1000,351000
Net cash used for investing activites,-3162000,-3162000,-2718000,-3950000,-4536000
Net change in cash,-104000,-104000,-562000,-1407000,-434000
Cash at beginning of period,3063000,3063000,2646000,4053000,4488000
Cash at end of period,2958000,2958000,3063000,2646000,4053000
Operating Cash Flow,4243000,4243000,4130000,3052000,5609000
Capital Expenditure,-971000,-971000,-920000,-1721000,-613000
Free Cash Flow,3272000,3272000,3210000,1331000,4996000
