Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-64628,-76342,-58223,-79682,-128803
Purchases of investments,-,-,-,-,-4832
Sales/Maturities of investments,-,6334,-,-,-
Net cash used for investing activites,-58450,-69780,-58194,-79640,-133635
Debt repayment,-307141,-301693,-166296,-311725,-104571
Dividends Paid,-63238,-67169,-89259,-132315,-132376
Other financing activites,-19367,3205,2386,-,-3294
Net cash used privided by (used for) financing activities,-136750,-108657,-156169,-183040,-137241
Net change in cash,-13929,-411,-750,-17419,4968
Cash at beginning of period,20346,4694,5444,22863,17895
Cash at end of period,6417,4283,4694,5444,22863
Capital Expenditure,-64628,-76342,-58223,-79682,-128803
Free Cash Flow,116642,101684,155390,165579,147041
