Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-,-33.974,-
Purchases of investments,-,-1995,-3575,-,-
Other investing activites,-,2.501,13.312,-,-
Net cash used for investing activites,-,-1993,-3562,-33.974,578.948
Other financing activites,-,-,5.926,-,-
Net cash used privided by (used for) financing activities,3796,3765,4033,-,-
Net change in cash,-274.166,1493,204.226,-290.373,297.775
Cash at beginning of period,468.489,714.848,510.622,800.995,503.22
Cash at end of period,194.323,2208,714.848,510.622,800.995
Capital Expenditure,-,-,-,-33.974,-
Free Cash Flow,-279.487,-279.712,-266.817,-290.373,-281.173
