Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,758904,683608,1411680,952258
Depreciation & amortization,-,653362,571099,558757
Change in working capital,-,577425,3254044,-2480331
Inventory,-,62493,-,-
Other working capital,-,1325505,3980219,-1338928
Other non-cash items,-,12751,23468,-99339
Net cash provided by operating activites,-,2349936,5221084,-987660
Investments in property plant and equipment,-,-1024431,-1240865,-351268
Purchases of investments,-,-977639,-55029,-383587
Sales/Maturities of investments,-,88552,4996,382246
Other investing activites,-,23802,1,52589
Net cash used for investing activites,-,-1993513,-1794535,-298431
Net change in cash,-,-1251452,1851790,-2341269
Cash at beginning of period,-,9638777,7786986,10128256
Cash at end of period,-,8387325,9638777,7786986
Operating Cash Flow,-,2349936,5221084,-987660
Capital Expenditure,-,-1024431,-1240865,-351268
Free Cash Flow,-,1325505,3980219,-1338928
