Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,1112568,1112568,991255,771753,721374
Interest Expense,422952,422952,302045,174107,148774
Income Before Tax,456795,456795,329693,252738,233380
Income Tax Expense,147002,147002,68265,90831,65234
Income from Continuing Operations,309793,309793,261428,161907,168146
Net Income,309793,309793,261428,161907,168146
Net Income available to common shareholders,297105,297105,248740,152458,160958
Basic EPS,-,-,0.75,0.58,0.63
Diluted EPS,-,-,0.75,0.58,0.63
Basic Average Shares,-,-,331259,264038,254842
Diluted Average Shares,-,-,332694,264889,255268
