Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,36478,28357,142060,-84591
Depreciation & amortization,-,61953,62075,68733
Change in working capital,-,-958863,-554415,3574
Inventory,-,3384,4978,-603
Other working capital,-391195,-787323,-368622,27847
Other non-cash items,-,40362,-67584,36281
Net cash provided by operating activites,-371181,-767309,-342813,43102
Investments in property plant and equipment,-,-20014,-25809,-15255
Acquisitions net,-,-335,-20000,-34500
Purchases of investments,-,-7500,-,-
Sales/Maturities of investments,-,-,-,0
Other investing activites,-,-72273,-109817,103816
Net cash used for investing activites,328957,135376,-153460,83820
Net change in cash,23672,17574,-393898,401588
Cash at beginning of period,31429,50073,463222,61129
Cash at end of period,55101,67654,50073,463222
Operating Cash Flow,-371181,-767309,-342813,43102
Capital Expenditure,-,-20014,-25809,-15255
Free Cash Flow,-391195,-787323,-368622,27847
