Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-109925,-390694,571493,23138
Depreciation & amortization,-,84742,61704,99004
Change in working capital,-,-226528,65502,-63784
Inventory,-,-17539,-24850,-2248
Other working capital,-,-596782,272512,37802
Other non-cash items,-,109591,-545397,29697
Net cash provided by operating activites,-,-533643,278490,85229
Investments in property plant and equipment,-,-63139,-5978,-47427
Acquisitions net,-,-1705337,-,-
Purchases of investments,-,-30000,-,-
Sales/Maturities of investments,-,170000,453476,7792
Other investing activites,-,-11451,-1496,12935
Net cash used for investing activites,-,-1635797,600621,-23024
Net change in cash,-,918586,622888,33433
Cash at beginning of period,-,1804152,1270471,1237038
Cash at end of period,-,2722739,1804152,1270471
Operating Cash Flow,-,-533643,278490,85229
Capital Expenditure,-,-63139,-5978,-47427
Free Cash Flow,-,-596782,272512,37802
