Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,3035949,3035949,3620811,2210111,869652
Depreciation & amortization,1968943,1968943,1298459,714469,682158
Change in working capital,64184,64184,-2961771,-388580,-1520660
Inventory,-237511,-237511,-1010567,-263763,-11175
Other working capital,4206284,4206284,1341672,2639171,199034
Other non-cash items,-89243,-89243,249659,-270253,279654
Net cash provided by operating activites,9015845,9015845,2669892,2744501,964180
Investments in property plant and equipment,-4809561,-4809561,-1328220,-105330,-765146
Acquisitions net,-627010,-627010,-136118,-,-
Purchases of investments,-674237,-674237,-194093,-91958,-7219
Sales/Maturities of investments,-,-,212635,-,-
Other investing activites,3762,3762,-97623,-5155,-3899
Net cash used for investing activites,-6107046,-6107046,-22216,-202443,-776264
Net change in cash,6710643,6710643,11736908,1201835,110548
Cash at beginning of period,14652995,14652995,2916087,1714252,1603704
Cash at end of period,21363639,21363639,14652995,2916087,1714252
Operating Cash Flow,9015845,9015845,2669892,2744501,964180
Capital Expenditure,-4809561,-4809561,-1328220,-105330,-765146
Free Cash Flow,4206284,4206284,1341672,2639171,199034
