Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Investments in property plant and equipment,-,-609,-159,-4156
Acquisitions net,-,0,-929,-
Purchases of investments,-1609,-2149,-920,-1287
Sales/Maturities of investments,1701,1175,54,151
Net cash used for investing activites,-27,-1583,-1954,-5292
Net change in cash,5888,4776,13819,-2011
Cash at beginning of period,21881,30775,16956,18967
Cash at end of period,27769,35551,30775,16956
Capital Expenditure,-,-609,-159,-4156
Free Cash Flow,16594,15681,24411,6758
