Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
Investments in property plant and equipment,-32,-32,-5721,-3429
Net cash used for investing activites,-34,-34,-5721,-3429
Debt repayment,-241,-241,-5954,-5291
Common stock issued,1000,1000,-,25013
Common stock repurchased,-,-,-,-2523
Dividends Paid,-114,-114,-29.884,-1557
Other financing activites,-,-,-,-39.614
Net cash used privided by (used for) financing activities,1416,1416,3129,21280
Net change in cash,-23619,-23619,-4050,29269
Cash at beginning of period,32687,32687,34909,5187
Cash at end of period,8571,8571,32687,34909
Capital Expenditure,-32,-32,-5721,-3429
Free Cash Flow,-25033,-25033,-7179,7989
