Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Net Income,14130,14130,-1171,15775,0
Other working capital,-58605,-58605,-157223,-59402,0
Net cash provided by operating activites,-,-,-,75594,0
Investments in property plant and equipment,-139837,-139837,-171934,-134996,-
Acquisitions net,-,-,-642.594,0,0
Purchases of investments,-138.153,-138.153,-3360,0,0
Sales/Maturities of investments,5798,5798,61540,0,0
Other investing activites,-141.29,-141.29,92.926,-1385,-
Net cash used for investing activites,-109807,-109807,-96763,-135900,0
Debt repayment,-,-,-2500,0,0
Common stock issued,23490,23490,72457,0,0
Common stock repurchased,-1170,-1170,-2375,-,-
Dividends Paid,-,-,-,0,0
Other financing activites,4.645,4.645,20779,92027,-
Net cash used privided by (used for) financing activities,22324,22324,88361,126965,-
Net change in cash,-6250,-6250,6309,66659,-
Cash at beginning of period,73447,73447,67137,478.316,0
Cash at end of period,67196,67196,73447,67137,0
Operating Cash Flow,-,-,-,75594,0
Capital Expenditure,-139837,-139837,-171934,-134996,-
Free Cash Flow,-58605,-58605,-157223,-59402,0
