Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-205.134,-399.856,-417.555,-393.314,-505.603
Acquisitions net,-,-,-298,-,-
Purchases of investments,-,-,-63.871,-,-
Net cash used for investing activites,-205.134,-399.856,-779.426,-393.314,-505.603
Debt repayment,-,-566.284,-150.728,-32.838,-
Common stock issued,-,-,2394,2960,-
Other financing activites,-,-,-138.622,-,-6.842
Net cash used privided by (used for) financing activities,5877,3045,2855,5061,686.325
Net change in cash,675.236,-1226,-2131,3026,-589.556
Cash at beginning of period,5859,6409,8540,5514,6103
Cash at end of period,6534,5184,6409,8540,5514
Capital Expenditure,-205.134,-399.856,-417.555,-393.314,-505.603
Free Cash Flow,-5201,-4271,-4625,-2036,-1276
