Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,540535,170920,414281,642366
Depreciation & amortization,-,120153,77739,74310
Stock based compensation,-,-,-,16285
Change in working capital,-,-179679,-52825,-71199
Inventory,-,-71,60326,49354
Other working capital,-,11491,215441,538751
Other non-cash items,-,-103379,-7843,-33895
Net cash provided by operating activites,-,50339,238438,645198
Investments in property plant and equipment,-,-38848,-22997,-106447
Acquisitions net,-,-63512,-,-
Purchases of investments,-,-73445,-,-
Sales/Maturities of investments,-,-,100000,103209
Other investing activites,-,40193,-103779,-125436
Net cash used for investing activites,-,-135612,-26776,-128428
Net change in cash,-,-400365,305643,160631
Cash at beginning of period,-,3084127,2778484,2617853
Cash at end of period,-,2683762,3084127,2778484
Operating Cash Flow,-,50339,238438,645198
Capital Expenditure,-,-38848,-22997,-106447
Free Cash Flow,-,11491,215441,538751
