Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-25677,-25677,-22469,-23664,-18420
Other investing activites,-,-20453,-,-,-
Net cash used for investing activites,-25677,-25677,-22453,-23660,-18145
Debt repayment,-,-,-,-26935,-15536
Dividends Paid,-26873,-26873,-19593,-17724,-7082
Net cash used privided by (used for) financing activities,-26873,-26873,-19593,-44659,-22618
Net change in cash,9543,9543,6172,7261,7148
Cash at beginning of period,27711,27711,21421,14333,7156
Cash at end of period,37521,37521,27711,21421,14333
Capital Expenditure,-25677,-25677,-22469,-23664,-18420
Free Cash Flow,36416,36416,25749,51916,29491
