Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,110573,107005,82281,84940
Liabilities,,,,
Total Liabilities,25020,23599,2408,5464
Stockholders' Equity,,,,
Common Stock,81439,81318,81448,81160
Retained Earnings,-10362,-10444,-10471,-9822
Accumulated other comprehensive income,14476,12533,8896,8139
Total stockholders' equity,85553,83407,79873,79476
Total liabilities and stockholders' equity,110573,107005,82281,84940
