Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-3424,-3424,-13894,-4042,-4874
Acquisitions net,-,-,-,-66612,-26004
Purchases of investments,-,-,-,-1900,-
Other investing activites,17139,17139,-5753,3206,-616
Net cash used for investing activites,13715,13715,-19647,-69348,-24070
Debt repayment,-21292,-21292,-,-,-4100
Common stock issued,-,-,-,30680,15000
Common stock repurchased,-,-,-,-1807,-605
Dividends Paid,-4458,-4458,-10466,-7584,-6840
Other financing activites,-5961,-5961,-120,-99,-214
Net cash used privided by (used for) financing activities,-24336,-24336,-10586,59682,13841
Net change in cash,651,651,-11966,3778,4073
Cash at beginning of period,8279,8279,20250,16426,12370
Cash at end of period,8949,8949,8279,20250,16426
Capital Expenditure,-3424,-3424,-13894,-4042,-4874
Free Cash Flow,7848,7848,4373,9402,9428
