Breakdown,ttm,3/31/2019,3/31/2018
Total Revenue,6627713,6627713,5679172
Cost of Revenue,5722987,5722987,5077171
Gross Profit,904726,904726,602001
Total Operating Expenses,576916,576916,500261
Operating Income or Loss,327810,327810,101740
Interest Expense,104262,104262,105834
Income Before Tax,186350,186350,102375
Income Tax Expense,27434,27434,26036
Income from Continuing Operations,158916,158916,76339
Net Income,158915,158915,76338
Net Income available to common shareholders,158915,158915,76338
Basic EPS,-,-,51.03
Diluted EPS,-,-,51.03
Basic Average Shares,-,-,1496
Diluted Average Shares,-,-,1496
