Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Net Income,-184854,51905,-15798,-32904
Change in working capital,530,38,274,303
Other working capital,-1095,-957,-808,191
Net cash provided by operating activites,-1095,-957,-808,191
Purchases of investments,-158092,-138175,-301127,-223386
Sales/Maturities of investments,176609,141429,229523,138469
Net cash used for investing activites,18517,3254,-71604,-84917
Net change in cash,20154,-555,-74771,-86648
Cash at beginning of period,-136280,-149411,-74640,12008
Cash at end of period,-116126,-149966,-149411,-74640
Operating Cash Flow,-1095,-957,-808,191
Free Cash Flow,-1095,-957,-808,191
