Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2397,-2397,-6603,-2272,-3304
Acquisitions net,-,-,-1606,-6187,-
Other investing activites,-1698,-1698,-,-,-
Net cash used for investing activites,-4095,-4095,-8209,-8459,-3304
Debt repayment,-2000,-2000,-12814,-,-2673
Common stock issued,10294,10294,4117,3327,9039
Common stock repurchased,-367.705,-367.705,-205.841,-166.367,-2521
Dividends Paid,-763.306,-763.306,-793.043,-575.508,-
Other financing activites,-,-,-,-,-707
Net cash used privided by (used for) financing activities,7163,7163,2912,11333,3139
Net change in cash,6582,6582,-1491,5054,1126
Cash at beginning of period,4931,4931,6422,1369,242.4
Cash at end of period,11677,11677,4931,6422,1369
Capital Expenditure,-2397,-2397,-6603,-2272,-3304
Free Cash Flow,1117,1117,-2797,-92.901,-2013
