Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,528686000,576948000,591035000,487625000
Cost of Revenue,265346000,280104000,286381000,244476000
Gross Profit,263340000,296843000,304654000,243148000
Total Operating Expenses,113859000,116640000,112226000,102041000
Operating Income or Loss,149481000,180203000,192428000,141107000
Interest Expense,134000,116000,-,-
Income Before Tax,157567000,197081000,196067000,145671000
Income Tax Expense,52912000,66266000,58897000,32254000
Income from Continuing Operations,104655000,130815000,137170000,113417000
Net Income,104633000,130632000,136870000,113096000
Net Income available to common shareholders,104633000,130632000,136870000,113096000
1.94k,,,,
2.04k,,,,
Basic Average Shares,-,67219,67213,67193
Diluted Average Shares,-,67219,67213,67193
