Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,32548069,28257767,25075645,21697134
Liabilities,,,,
Total Liabilities,29715811,25757373,22872924,19687577
Stockholders' Equity,,,,
Common Stock,150503,150502,150496,150495
Retained Earnings,1694608,1381492,1090500,903187
Accumulated other comprehensive income,8950,518,428,415
Total stockholders' equity,2832258,2500394,2202721,2009557
Total liabilities and stockholders' equity,32548069,28257767,25075645,21697134
