Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,331900,311800,291500,279600
Total Operating Expenses,-,-,260800,255800
Operating Income or Loss,331900,311800,291500,279600
Interest Expense,1400,1900,1900,2000
Income Before Tax,4200,14900,28800,21800
Income Tax Expense,3600,6700,5300,4200
Income from Continuing Operations,600,8200,23500,17600
Net Income,600,8200,23500,17600
Net Income available to common shareholders,600,8200,23500,17600
Basic EPS,-,0.05,0.15,0.12
Diluted EPS,-,0.05,0.15,0.11
Basic Average Shares,-,154100,153100,151100
Diluted Average Shares,-,158386,158300,157873
