Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-26226,-26226
Purchases of investments,-22358,-22358
Net cash used for investing activites,-48583,-48583
Debt repayment,-4964,-4964
Common stock issued,30000,30000
Common stock repurchased,-1835,-1835
Other financing activites,3730,3730
Net cash used privided by (used for) financing activities,22475,22475
Net change in cash,1752,1752
Cash at beginning of period,1447,1447
Cash at end of period,3199,3199
Capital Expenditure,-26226,-26226
Free Cash Flow,1635,1635
