Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1697,-1700,-6038,-7623,-1081
Purchases of investments,-,-,-4492,-,-
Sales/Maturities of investments,-,-,627,-,-
Other investing activites,-,22,-,91,-
Net cash used for investing activites,-13621,-1678,-9894,-7532,-1071
Dividends Paid,-6743,-5842,-1800,-5694,-2324
Other financing activites,-4518,-1423,-1351,-753,-31
Net cash used privided by (used for) financing activities,-11261,-7265,-3151,-6447,-2355
Net change in cash,-1831,9192,1175,-4139,13574
Cash at beginning of period,38419,34379,32512,37620,25812
Cash at end of period,36588,43831,34379,32512,37620
Capital Expenditure,-1697,-1700,-6038,-7623,-1081
Free Cash Flow,21354,16435,8182,2217,15919
