Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-44.999,-37.887,-6.892,-46.133,-776.196
Purchases of investments,-,-0.001,-0.058,-,-
Other investing activites,10802,10164,365.677,-5312,14219
Net cash used for investing activites,4484,12029,4921,-2750,26089
Debt repayment,-101588,-80456,-134284,-62475,-98542
Common stock issued,-,-,34393,-,-
Common stock repurchased,-,-794.412,-285.953,-329.646,-1024
Dividends Paid,-16343,-14267,-12663,-16268,-17683
Net cash used privided by (used for) financing activities,-15381,4476,-71222,57757,-29355
Net change in cash,-2713,-12260,-11026,40713,-40935
Cash at beginning of period,33914,57750,68776,28063,68999
Cash at end of period,31201,45490,57750,68776,28063
Capital Expenditure,-44.999,-37.887,-6.892,-46.133,-776.196
Free Cash Flow,8139,-28803,55268,-14340,-38446
