Breakdown,12/31/2019,12/31/2018,12/31/2017
Total Assets,4931233,4107215,2961118
Liabilities,,,
Total Liabilities,4329589,3616879,2673971
Stockholders' Equity,,,
Common Stock,520,463,319
Retained Earnings,64888,38567,23950
Accumulated other comprehensive income,16451,-3010,7026
Total stockholders' equity,601644,490336,287147
Total liabilities and stockholders' equity,4931233,4107215,2961118
