Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,173587000,167496000,170721000
Liabilities,,,
Total Liabilities,135137000,136455000,140073000
Stockholders' Equity,,,
Common Stock,7236000,3240000,3240000
Retained Earnings,1567000,715000,-8000
Total stockholders' equity,38339000,30921000,30531000
Total liabilities and stockholders' equity,173587000,167496000,170721000
