Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,138119000,145389000,165270000,181594000
Selling General and Administrative,52872000,52183000,51647000,52043000
Total Operating Expenses,87166000,94662000,106761000,129301000
Interest Expense,116582000,119534000,121559000,122381000
Income Before Tax,62049000,61935000,62873000,52804000
Income Tax Expense,16841000,16278000,17880000,8250000
Income from Continuing Operations,45208000,45657000,44993000,44554000
Net Income,44509000,44781000,44466000,43871000
Net Income available to common shareholders,44509000,44781000,44466000,43871000
6.36k,,,,
6.31k,,,,
Basic Average Shares,-,6708,6708,6708
Diluted Average Shares,-,6708,6708,6708
