Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-36625,185700,887169,992471
Depreciation & amortization,-,1028556,1058235,844252
Change in working capital,-,230066,717403,-979799
Inventory,-,-106950,-52362,-77868
Other working capital,-,884895,1624760,-2846666
Other non-cash items,-,-174945,147988,47539
Net cash provided by operating activites,-,1630732,2667537,744587
Investments in property plant and equipment,-,-745837,-1042777,-3591253
Acquisitions net,-,-445420,-,-
Purchases of investments,-,-33850,-31240,-27137
Sales/Maturities of investments,-,372762,288642,-
Other investing activites,-,-53112,-1331,-8618
Net cash used for investing activites,-,-1171194,-786918,-3626233
Net change in cash,-,-288376,1230341,-1223373
Cash at beginning of period,-,5488244,4257902,5481275
Cash at end of period,-,5199867,5488244,4257902
Operating Cash Flow,-,1630732,2667537,744587
Capital Expenditure,-,-745837,-1042777,-3591253
Free Cash Flow,-,884895,1624760,-2846666
