Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,271084,271084,272032,281195,253489
Interest Expense,99886,99886,90319,63610,46894
Income Before Tax,64031,64031,57566,77049,33790
Income Tax Expense,12697,12697,11733,33992,10211
Income from Continuing Operations,51334,51334,45833,43057,23579
Net Income,51334,51334,45833,43057,23579
Net Income available to common shareholders,51334,51334,45833,43057,23579
Basic EPS,-,-,1.08,1.23,0.68
Diluted EPS,-,-,1.08,1.23,0.68
Basic Average Shares,-,-,42487,34920,34920
Diluted Average Shares,-,-,42487,34920,34920
