Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,3480808000,3306502000,3285408000
Liabilities,,,
Total Liabilities,3258421000,3089192000,3068432000
Stockholders' Equity,,,
Common Stock,15400000,15400000,15400000
Retained Earnings,164099000,162550000,158984000
Total stockholders' equity,219828000,214895000,214782000
Total liabilities and stockholders' equity,3480808000,3306502000,3285408000
