Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1882182,1873665,1796607,1628919
Liabilities,,,,
Total Liabilities,1699785,1699469,1635580,1483024
Stockholders' Equity,,,,
Common Stock,120589,120527,118301,115353
Retained Earnings,69324,54706,41032,29652
Accumulated other comprehensive income,-7516,-1037,1694,890
Total stockholders' equity,182397,174196,161027,145895
Total liabilities and stockholders' equity,1882182,1873665,1796607,1628919
