Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-,-6.148,-183.702,-269.04
Acquisitions net,-,-,-,-416.869
Other investing activites,-,-,196.584,156.008
Net cash used for investing activites,-,-6.148,-192.965,-529.901
Debt repayment,-,-,-,-593.501
Common stock issued,848.214,1745,150,3710
Common stock repurchased,-,-199.795,-,-360.179
Other financing activites,-,-,32.5,-
Net cash used privided by (used for) financing activities,778.015,1745,281.5,3349
Net change in cash,-33.204,-79.423,-1211,1398
Cash at beginning of period,69.888,195.661,1407,8.918
Cash at end of period,36.684,116.238,195.661,1407
Capital Expenditure,-,-6.148,-183.702,-269.04
Free Cash Flow,-320.589,-1825,-1484,-1690
