Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Purchases of investments,-91673,-102644,-91842,-93186,-76562
Sales/Maturities of investments,74616,93841,73683,72703,30468
Net cash used for investing activites,-17057,-8804,-18159,-20484,-46094
Common stock issued,-,-,-,65161,27869
Common stock repurchased,-,-,-,-1028,-
Dividends Paid,-13535,-13764,-10716,-8082,-6324
Net cash used privided by (used for) financing activities,-13535,-13764,-10716,56051,21546
Net change in cash,-26015,-15240,-20347,42496,-19236
Cash at beginning of period,59654,55311,75658,33162,52398
Cash at end of period,33638,40070,55311,75658,33162
Free Cash Flow,4577,7328,8528,6928,5312
