Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,10584000,14253000,15777000,17715000
Depreciation & amortization,-,6323000,6494000,6392000
Change in working capital,-,-5444000,-7778000,-2914000
Inventory,-,-5958000,-5158000,-447000
Other working capital,-,9228000,9793000,15417000
Other non-cash items,-,369000,368000,167000
Net cash provided by operating activites,-,15663000,14832000,21785000
Investments in property plant and equipment,-,-6435000,-5039000,-6368000
Acquisitions net,-,-1135000,-,-
Purchases of investments,-,-5156000,-31727000,-6702000
Sales/Maturities of investments,-,4890000,1387000,24844000
Other investing activites,-,-44000,23476000,-16500000
Net cash used for investing activites,-,-7589000,-11095000,-4343000
Net change in cash,-,1864000,-5965000,6591000
Cash at beginning of period,-,53231000,59196000,52605000
Cash at end of period,-,55096000,53231000,59196000
Operating Cash Flow,-,15663000,14832000,21785000
Capital Expenditure,-,-6435000,-5039000,-6368000
Free Cash Flow,-,9228000,9793000,15417000
