Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-7332,-7332,-13362,-7107,-9349
Acquisitions net,-6486,-6486,-,-,-
Purchases of investments,-,-,-247.6792,-,-
Other investing activites,-568.1644,-568.1644,129.1867,-41.9295,-131.3405
Net cash used for investing activites,-14203,-14203,-13293,-6958,-9480
Debt repayment,-4709,-4709,-2996,-6853,-1976
Dividends Paid,-5480,-5480,-5428,-6643,-4028
Net cash used privided by (used for) financing activities,-10515,-10515,-4474,-11404,1528
Net change in cash,-5777,-5777,2781,10280,-1818
Cash at beginning of period,17714,17714,15551,3684,5842
Cash at end of period,11551,11551,17584,14072,3971
Capital Expenditure,-7332,-7332,-13362,-7107,-9349
Free Cash Flow,11609,11609,7186,21535,-3214
