Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,119686,119686,-119225,-28478,28374
Depreciation & amortization,93553,93553,85984,78497,33270
Change in working capital,55361,55361,159180,114495,-108913
Inventory,-5234,-5234,-3536,4348,-14023
Other working capital,284152,284152,-182179,-98317,-271913
Net cash provided by operating activites,284152,284152,56183,150115,-31691
Investments in property plant and equipment,-,-,-238362,-248432,-240222
Purchases of investments,-71393,-71393,-,-125005,-45223
Sales/Maturities of investments,-,-,108194,-,-
Other investing activites,-245071,-245071,-,-,-
Net cash used for investing activites,-316464,-316464,-113841,-364978,-285445
Net change in cash,1111,1111,-2399,4406,-104569
Cash at beginning of period,4902,4902,7301,2895,107464
Cash at end of period,6013,6013,4902,7301,2895
Operating Cash Flow,284152,284152,56183,150115,-31691
Capital Expenditure,-,-,-238362,-248432,-240222
Free Cash Flow,284152,284152,-182179,-98317,-271913
