Breakdown,ttm,3/31/2019,3/31/2018
Total Revenue,2522476,2522476,1910656
Cost of Revenue,1036508,1036508,658973
Gross Profit,1485967,1485967,1251682
Total Operating Expenses,1688409,1688409,1602527
Operating Income or Loss,-202442,-202442,-350845
Interest Expense,339,339,2711
Income Before Tax,12011,12011,-351693
Income Tax Expense,29640,29640,2699
Income from Continuing Operations,-17629,-17629,-354392
Net Income,-17629,-17629,-354393
Net Income available to common shareholders,-17629,-17629,-354393
Basic EPS,-,-,-21.91
Diluted EPS,-,-,-21.91
Basic Average Shares,-,-,16175
Diluted Average Shares,-,-,16175
