Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-12,-9,-3,-7
Other investing activites,-,-,-,3000,-
Net cash used for investing activites,-,-12,-9,2997,-2
Common stock issued,784,3560,3639,-,-
Common stock repurchased,-,-215,-279,-,-
Net cash used privided by (used for) financing activities,784,3345,3360,-,-
Net change in cash,-3873,-1261,-1456,2235,-4725
Cash at beginning of period,4574,3984,5440,3205,7930
Cash at end of period,701,2723,3984,5440,3205
Capital Expenditure,-,-12,-9,-3,-7
Free Cash Flow,-4657,-4606,-4816,-765,-4730
